Day,InterpolatedProbability
243,0.08655433333333333
244,0.08907066666666667
245,0.091587
246,0.06642525
247,0.0412635
248,0.016101749999999998
249,0.0001
250,0.0001
251,0.0001
252,0.0001
253,0.0001
254,0.0001
255,0.0001
256,0.0001
257,0.002921499999999997
258,0.006999999999999999
259,0.0001
260,0.0001
261,0.0001
262,0.0001
263,0.0001
264,0.0001
265,0.0001
266,0.0001
267,0.0001
268,0.0001
269,0.0001
270,0.0001
271,0.0001
272,0.0001
273,0.0001
274,0.0001
275,0.0001
276,0.0001
277,0.0001
278,0.0001
279,0.0001
280,0.0001
281,0.0001
282,0.0001
283,0.0001
284,0.0001
285,0.0001
286,0.0001
287,0.0001
288,0.0001
289,0.0001
290,0.009242
291,0.019585666666666668
292,0.029929333333333336
293,0.040273
294,0.05061666666666667
295,0.06096033333333334
296,0.071304
297,0.08570340000000001
298,0.1001028
299,0.11450220000000001
300,0.1289016
301,0.143301
302,0.12411116666666668
303,0.10492133333333334
304,0.0857315
305,0.06654166666666667
306,0.04735183333333333
307,0.028161999999999993
308,0.031146
309,0.03413
310,0.037114
311,0.040098
312,0.043082
313,0.046066
314,0.043313222222222225
315,0.04056044444444445
316,0.03780766666666667
317,0.03505488888888889
318,0.032302111111111115
319,0.029549333333333334
320,0.026796555555555556
321,0.02404377777777778
322,0.021291
323,0.004667750000000002
324,0.0001
325,0.0001
326,0.0001
327,0.0001
328,0.0001
329,0.0001
330,0.0001
331,0.0001
332,0.0001
333,0.0001
334,0.0001
335,0.0001
336,0.003079
337,0.0011286
338,0.0001
339,0.0001
340,0.0001
341,0.0001
342,0.0001
343,0.0001
344,0.0001
345,0.0001
346,0.0001
347,0.0001
348,0.0001
349,0.0001
350,0.0001
351,0.0001
352,0.0001
353,0.0014185000000000005
354,0.004217666666666667
355,0.007016833333333334
356,0.009816000000000002
357,0.01261516666666667
358,0.015414333333333335
359,0.0182135
360,0.02101266666666667
361,0.023811833333333338
362,0.026611000000000003
363,0.029410166666666668
364,0.03220933333333334
365,0.035008500000000005
